Request ID,Memory Required,Node Allocated,Node Data,Time Taken,Failed Requests
								9485,			32

	300,			6,			
								687,			8

	301,			4,			
								703,			4

	302,			20,			
								2508,			32

	303,			6,			
								9390,			8

	304,			26,			
								2574,			32

	305,			17,			
								9548,			32

	306,			13,			
								9613,			16

	307,			15,			
								9644,			16

	308,			4,			
								710,			4

	309,			12,			
								2638,			16

	310,			26,			
								9675,			32

	311,			28,			
								9741,			32

	312,			13,			
								2669,			16

	313,			14,			
								2702,			16

	314,			16,			
								2733,			16

	315,			26,			
								9804,			32

	316,			30,			
								9868,			32

	317,			31,			
								9931,			32

	318,			5,			
								2766,			8

	319,			8,			
								2781,			8

	320,			3,			
								9406,			4

	321,			26,			
								9996,			32

	322,			11,			
								10060,			16

	323,			10,			
								10091,			16

	324,			3,			
								9413,			4

	325,			10,			
								10124,			16

	326,			13,			
								10155,			16

	327,			11,			
								10187,			16

	328,			8,			
								10219,			8

	329,			10,			
								10255,			16

	330,			22,			
								10317,			32

	331,			27,			
								10381,			32

	332,			19,			
								10444,			32

	333,			19,			
								10509,			32

	334,			16,			
								718,			16

	335,			22,			
								10572,			32

	336,			32,			
								2829,			32

	337,			28,			
								10636,			32

	338,			3,			
								41,			4

	339,			31,			
								10699,			32

	340,			10,			
								80,			16

	341,			12,			
								10286,			16

	342,			19,			
								10765,			32

	343,			4,			
								10235,			4

	344,			11,			
								10829,			16

	345,			11,			
								10860,			16

	346,			13,			
								10893,			16

	347,			32,			
								10955,			32

	348,			14,			
								2893,			16

	349,			14,			
								2924,			16

	350,			28,			
								11020,			32

	351,			14,			
								10924,			16

	352,			27,			
								782,			32

	353,			15,			
								11084,			16

	354,			25,			
								11147,			32

	355,			2,			
								35,			2

	356,			27,			
								2956,			32

	357,			25,			
								11210,			32

	358,			5,			
								11116,			8

	359,			8,			
								11131,			8

	360,			32,			
								3019,			32

	361,			26,			
								11277,			32

	362,			19,			
								11340,			32

	363,			29,			
								11404,			32

